custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
6H6T6N,0,9/28/12,8/11/13,8/11/13,29,100,3.448275862,14.52,0,0,0,0,Monday,DEL
APCENR,1,12/19/10,4/1/11,1/19/14,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,Friday,DEL
7UP6MS,0,10/3/10,12/1/10,7/6/11,0,0,0,33.58,0.059907834,0,0,0,Wednesday,DEL
7ZEW8G,0,10/22/10,3/28/11,3/28/11,0,0,0,54.96,0,0,0,0,Thursday,BOM
8V726M,1,11/27/10,11/29/10,1/28/13,30,90,13.33333333,111.91,0.008849558,0,0,0,Monday,BOM
2B6B83,1,11/17/08,10/12/10,1/14/14,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,Wednesday,DEL
99XGVM,1,1/24/11,5/16/11,1/16/14,60,43.33333333,6.666666667,116.55,0.125,0,1,0,Friday,BOM
U3MP5L,1,12/4/09,9/21/11,1/16/14,64,28.125,15.625,68.1,0.04009434,1,1,0,Friday,DEL
ELKAGQ,1,9/18/10,11/9/10,11/9/10,45,0,0,46.6,0,0,0,0,Wednesday,DEL
3SBQP2,1,12/29/10,2/20/11,12/10/13,34,94.11764706,8.823529412,66.07,0.133789063,1,0,0,Monday,DEL
YMALVV,1,9/22/10,11/18/10,1/15/14,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,Friday,DEL
GW8NT7,1,11/16/09,5/9/11,1/5/14,40,87.5,45,88.3,0.088477366,0,0,0,Wednesday,DEL
TFKLD4,1,7/25/09,11/15/10,1/19/14,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,Monday,DEL
RAQ92T,1,3/14/10,3/1/11,10/6/13,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,Tuesday,DEL
DMJERJ,0,4/11/11,4/14/11,1/13/14,16,12.5,0,59.25,0.129353234,1,1,0,Tuesday,DEL
FJKD8W,1,3/8/11,3/27/11,1/7/14,45,60,15.55555556,49.73,0.044247788,1,1,0,Wednesday,BOM
HEPCW7,0,10/2/10,1/25/11,1/12/14,13,61.53846154,15.38461538,156.54,0.119113573,1,0,0,Monday,DEL
2JZAE3,1,8/30/10,3/12/12,10/15/13,48,8.333333333,2.083333333,101.06,0.037800687,0,0,0,Monday,DEL
BYS2DU,1,2/2/11,4/10/11,1/19/14,57,17.54385965,0,14.02,0.066009852,0,0,0,Monday,BOM
